Depth,OB,VP,Temp,PP,GR,NPHI,CALI,LITHO,RHOB,RDEP
56,332.60955118516074,1818.8315424676748,42.939596800000004,81.1813750272,64.4974823,,19.406000137,,1.7890000343,1.5749928951
57,335.4138174133393,1818.8315424676748,42.9920896,82.6310424384,64.4974823,,19.406000137,,1.7890000343,1.5749928951
58,338.21915569139435,1818.8315424676748,43.0445824,84.0807098496,64.4974823,,19.406000137,,1.7890000343,1.5749928951
59,341.02555224492403,1818.8315424676748,43.0970752,85.53037726080001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
60,343.83299370554255,1818.8315424676748,43.149568,86.980044672,64.4974823,,19.406000137,,1.7890000343,1.5749928951
61,346.64146709238435,1818.8315424676748,43.2020608,88.4297120832,64.4974823,,19.406000137,,1.7890000343,1.5749928951
62,349.4509597947389,1818.8315424676748,43.2545536,89.8793794944,64.4974823,,19.406000137,,1.7890000343,1.5749928951
63,352.2614595557295,1818.8315424676748,43.3070464,91.32904690560001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
64,355.07295445695854,1818.8315424676748,43.3595392,92.7787143168,64.4974823,,19.406000137,,1.7890000343,1.5749928951
65,357.88543290404607,1818.8315424676748,43.412032,94.228381728,64.4974823,,19.406000137,,1.7890000343,1.5749928951
66,360.69888361299894,1818.8315424676748,43.4645248,95.6780491392,64.4974823,,19.406000137,,1.7890000343,1.5749928951
67,363.5132955973503,1818.8315424676748,43.5170176,97.1277165504,64.4974823,,19.406000137,,1.7890000343,1.5749928951
68,366.32865815601417,1818.8315424676748,43.5695104,98.57738396159999,64.4974823,,19.406000137,,1.7890000343,1.5749928951
69,369.1449608618068,1818.8315424676748,43.6220032,100.02705137279999,64.4974823,,19.406000137,,1.7890000343,1.5749928951
70,371.9621935505883,1818.8315424676748,43.674496,101.476718784,64.4974823,,19.406000137,,1.7890000343,1.5749928951
71,374.7803463109833,1818.8315424676748,43.7269888,102.9263861952,64.4974823,,19.406000137,,1.7890000343,1.5749928951
72,377.5994094746409,1818.8315424676748,43.7794816,104.37605360639999,64.4974823,,19.406000137,,1.7890000343,1.5749928951
73,380.41937360700024,1818.8315424676748,43.8319744,105.82572101759999,64.4974823,,19.406000137,,1.7890000343,1.5749928951
74,383.24022949852804,1818.8315424676748,43.8844672,107.2753884288,64.4974823,,19.406000137,,1.7890000343,1.5749928951
75,386.0619681563968,1818.8315424676748,43.93696,108.72505584000001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
76,388.88458079657863,1818.8315424676748,43.9894528,110.17472325119999,64.4974823,,19.406000137,,1.7890000343,1.5749928951
77,391.70805883632625,1818.8315424676748,44.0419456,111.6243906624,64.4974823,,19.406000137,,1.7890000343,1.5749928951
78,394.5323938870189,1818.8315424676748,44.0944384,113.07405807360001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
79,397.3575777473502,1818.8315424676748,44.1469312,114.5237254848,64.4974823,,19.406000137,,1.7890000343,1.5749928951
